HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"BAPTIST HEALTH MEDICAL CENTER-CONWAY","040154","AR","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MILLS-PENINSULA MEDICAL CENTER","050007","CA","READM-30-PN-HRRP","525","","0.8116","12.9","15.9","56","01-JUL-13","30-JUN-16"
"SUTTER AMADOR HOSPITAL","050014","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SUTTER AMADOR HOSPITAL","050014","CA","READM-30-PN-HRRP","269","","0.9992","15.3","15.3","41","01-JUL-13","30-JUN-16"
"MERCY GENERAL HOSPITAL","050017","CA","READM-30-COPD-HRRP","234","","1.1207","23.6","21.1","64","01-JUL-13","30-JUN-16"
"RIVERSIDE COMMUNITY HOSPITAL","050022","CA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9217","3.9","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"PARADISE VALLEY HOSPITAL","050024","CA","READM-30-PN-HRRP","349","","1.0068","21.4","21.2","75","01-JUL-13","30-JUN-16"
"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR","050025","CA","READM-30-PN-HRRP","475","","1.0269","18.2","17.7","88","01-JUL-13","30-JUN-16"
"MAD RIVER COMMUNITY HOSPITAL","050028","CA","READM-30-HF-HRRP","71","","1.0197","18.1","17.8","14","01-JUL-13","30-JUN-16"
"DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","030136","AZ","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SILOAM SPRINGS REGIONAL HOSPITAL","040001","AR","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SILOAM SPRINGS REGIONAL HOSPITAL","040001","AR","READM-30-COPD-HRRP","82","","1.0407","16.2","15.5","16","01-JUL-13","30-JUN-16"
"JOHNSON REGIONAL MEDICAL CENTER","040002","AR","READM-30-COPD-HRRP","115","","0.9719","14.7","15.2","15","01-JUL-13","30-JUN-16"
"JOHNSON REGIONAL MEDICAL CENTER","040002","AR","READM-30-PN-HRRP","223","","0.9262","12.2","13.1","23","01-JUL-13","30-JUN-16"
"CHAMBERS MEMORIAL HOSPITAL","040011","AR","READM-30-HF-HRRP","158","","1.1778","23.4","19.9","47","01-JUL-13","30-JUN-16"
"WHITE COUNTY MEDICAL CENTER","040014","AR","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MENA REGIONAL HEALTH SYSTEM","040015","AR","READM-30-HF-HRRP","73","","1.0089","18.5","18.3","14","01-JUL-13","30-JUN-16"
"JEFFERSON REGIONAL MEDICAL CENTER","040071","AR","READM-30-CABG-HRRP","Not Available","","1.0972","12.6","11.5","Too Few to Report","01-JUL-13","30-JUN-16"
"JEFFERSON REGIONAL MEDICAL CENTER","040071","AR","READM-30-HF-HRRP","322","","1.0233","21.0","20.5","69","01-JUL-13","30-JUN-16"
"JEFFERSON REGIONAL MEDICAL CENTER","040071","AR","READM-30-PN-HRRP","485","","1.1012","17.8","16.2","92","01-JUL-13","30-JUN-16"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-HIP-KNEE-HRRP","409","","0.9145","3.6","3.9","13","01-JUL-13","30-JUN-16"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-PN-HRRP","442","","1.0686","16.6","15.5","77","01-JUL-13","30-JUN-16"
"DALE MEDICAL CENTER","010021","AL","READM-30-HF-HRRP","91","","0.9858","20.7","21.0","18","01-JUL-13","30-JUN-16"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-COPD-HRRP","Not Available","","0.9636","17.5","18.2","Too Few to Report","01-JUL-13","30-JUN-16"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-HF-HRRP","Not Available","","0.9795","21.6","22.1","Too Few to Report","01-JUL-13","30-JUN-16"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-HF-HRRP","816","","1.0375","20.8","20.1","172","01-JUL-13","30-JUN-16"
"JOHN C. LINCOLN MEDICAL CENTER","030014","AZ","READM-30-CABG-HRRP","Not Available","","0.9999","11.6","11.6","Too Few to Report","01-JUL-13","30-JUN-16"
"MARICOPA MEDICAL CENTER","030022","AZ","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FLAGSTAFF MEDICAL CENTER","030023","AZ","READM-30-PN-HRRP","431","","0.8247","13.4","16.2","47","01-JUL-13","30-JUN-16"
"SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","050112","CA","READM-30-PN-HRRP","797","","1.1061","20.2","18.3","167","01-JUL-13","30-JUN-16"
"PALOMAR HEALTH DOWNTOWN CAMPUS","050115","CA","READM-30-HF-HRRP","425","","1.0173","19.8","19.4","85","01-JUL-13","30-JUN-16"
"NORTHRIDGE HOSPITAL MEDICAL CENTER","050116","CA","READM-30-COPD-HRRP","179","","0.9695","20.9","21.5","35","01-JUL-13","30-JUN-16"
"ADVENTIST MEDICAL CENTER","050121","CA","READM-30-COPD-HRRP","411","","1.0503","19.3","18.4","83","01-JUL-13","30-JUN-16"
"ADVENTIST MEDICAL CENTER","050121","CA","READM-30-HF-HRRP","487","","1.0922","23.5","21.5","120","01-JUL-13","30-JUN-16"
"VALLEY PRESBYTERIAN HOSPITAL","050126","CA","READM-30-PN-HRRP","312","","0.9611","19.0","19.8","57","01-JUL-13","30-JUN-16"
"TRI-CITY MEDICAL CENTER","050128","CA","READM-30-CABG-HRRP","Not Available","","0.9701","11.8","12.2","Too Few to Report","01-JUL-13","30-JUN-16"
"NOVATO COMMUNITY HOSPITAL","050131","CA","READM-30-HF-HRRP","150","","1.0301","20.2","19.6","32","01-JUL-13","30-JUN-16"
"PETALUMA VALLEY HOSPITAL","050136","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PETALUMA VALLEY HOSPITAL","050136","CA","READM-30-COPD-HRRP","112","","0.9411","19.1","20.3","17","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL - DOWNEY","050139","CA","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL FONTANA","050140","CA","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL FONTANA","050140","CA","READM-30-HF-HRRP","Not Available","","1.0162","22.6","22.2","Too Few to Report","01-JUL-13","30-JUN-16"
"KAISER FOUNDATION HOSPITAL FONTANA","050140","CA","READM-30-PN-HRRP","44","","1.0498","18.5","17.6","11","01-JUL-13","30-JUN-16"
"SIERRA NEVADA MEMORIAL HOSPITAL","050150","CA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SEQUOIA HOSPITAL","050197","CA","READM-30-PN-HRRP","373","","0.9657","14.5","15.0","52","01-JUL-13","30-JUN-16"
"PALMDALE REGIONAL MEDICAL CENTER","050204","CA","READM-30-AMI-HRRP","152","","0.9202","16.8","18.2","20","01-JUL-13","30-JUN-16"
"ALAMEDA HOSPITAL","050211","CA","READM-30-HF-HRRP","139","","1.0225","21.3","20.9","31","01-JUL-13","30-JUN-16"
"ALAMEDA HOSPITAL","050211","CA","READM-30-PN-HRRP","267","","1.1127","18.3","16.5","55","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050257","CA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050257","CA","READM-30-COPD-HRRP","Not Available","","1.0065","19.8","19.7","Too Few to Report","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050257","CA","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GOOD SAMARITAN HOSPITAL","050257","CA","READM-30-PN-HRRP","53","","1.0491","19.2","18.3","13","01-JUL-13","30-JUN-16"
